Language_Name,ISO639P3code,Freq,Language_ID,Glottocode_clics,Glottolog_Name,Macroarea,Family,Wals_ID,Wals_Name,Latitude,Longitude,Glottocode_wals,Subfamily,Genus,Language
Romanian,ron,81,ron,roma1327,Romanian,Eurasia,Indo-European,mol,Moldavian,47.0,29.0,roma1327,,Romance,ron
Spanish,spa,76,176,stan1288,Spanish,Eurasia,Indo-European,spa,Spanish,40.0,-4.0,stan1288,,Romance,spa
Portuguese,por,71,178,port1283,Portuguese,Eurasia,Indo-European,por,Portuguese,39.0,-8.0,port1283,,Romance,por
Udmurt,udm,69,159,udmu1245,Udmurt,Eurasia,Uralic,udm,Udmurt,57.5,52.5,udmu1245,Finno-Ugric,Permic,udm
Erzya Mordvin,myv,68,126,erzy1239,Erzya,Eurasia,Uralic,moe,Mordvin (Erzya),53.0,45.5,erzy1239,Finno-Ugric,Mordvin,myv
Indonesian,ind,68,Indonesian,indo1316,Indonesian,Papunesia,Austronesian,ind,Indonesian,0.0,106.0,indo1316,,Malayo-Sumbawan,ind
Dutch,nld,68,191,dutc1256,Dutch,Eurasia,Indo-European,dbr,Dutch (Brabantic),50.75,4.5,dutc1256,,Germanic,nld
Polish,pol,67,203,poli1260,Polish,Eurasia,Indo-European,pol,Polish,52.0,20.0,poli1260,,Slavic,pol
Lithuanian,lit,67,36600,lith1251,Lithuanian,Eurasia,Indo-European,lit,Lithuanian,55.0,24.0,lith1251,,Baltic,lit
Russian,rus,66,204,russ1263,Russian,Eurasia,Indo-European,rus,Russian,56.0,38.0,russ1263,,Slavic,rus
Hawaiian,haw,62,235,hawa1245,Hawaiian,Papunesia,Austronesian,haw,Hawaiian,19.5833333333,-155.5,hawa1245,Eastern Malayo-Polynesian,Oceanic,haw
Ossetic,oss,62,319,osse1243,Ossetian,Eurasia,Indo-European,oss,Ossetic,43.0,44.0,osse1243,,Iranian,oss
Swedish,swe,62,187,swed1254,Swedish,Eurasia,Indo-European,swe,Swedish,60.0,15.0,swed1254,,Germanic,swe
Thai,tha,61,Thai,thai1261,Thai,Eurasia,Tai-Kadai,tha,Thai,16.0,101.0,thai1261,,Kam-Tai,tha
Telugu,tel,58,709,telu1262,Telugu,Eurasia,Dravidian,tel,Telugu,16.0,79.0,telu1262,,South-Central Dravidian,tel
Lezgian,lez,57,64,lezg1247,Lezgian,Eurasia,Nakh-Daghestanian,lez,Lezgian,41.6666666667,47.8333333333,lezg1247,Daghestanian,Lezgic,lez
Hausa,hau,56,Hausa,haus1257,,Africa,Afro-Asiatic,hau,Hausa,12.0,7.0,haus1257,Chadic,West Chadic,hau
Irish,gle,56,181,iris1253,Irish,Eurasia,Indo-European,ird,Irish (Donegal),55.0,-8.0,iris1253,,Celtic,gle
Chechen (Akkin dialect),che,55,317,chec1245,Chechen,Eurasia,Nakh-Daghestanian,chc,Chechen,43.25,45.8333333333,chec1245,,Nakh,che
Mandarin Chinese,cmn,55,MandarinChinese,mand1415,Mandarin Chinese,Eurasia,Sino-Tibetan,kug,Kunming,25.0,102.75,mand1415,,Chinese,cmn
