LLM,French,Spanish,Italian,German,Russian,Portuguese,Turkish,Vietnamese,Chinese,Korean,Arabic,Japanese,Hindi,Indonesian
command-r,99.33333333333333,95.66666666666667,99.0,98.0,100.0,98.5,99.0,99.0,98.5,100.0,100.0,100.0,100.0,92.0
command-r-plus,99.66666666666667,99.33333333333333,100.0,100.0,100.0,97.5,100.0,99.0,97.5,100.0,99.66666666666667,99.0,100.0,97.0
gpt-3.5-turbo,100.0,99.66666666666667,100.0,100.0,100.0,98.0,100.0,99.0,97.0,100.0,100.0,98.0,99.0,96.0
gpt-4-turbo,99.33333333333333,99.33333333333333,99.0,100.0,100.0,98.0,100.0,100.0,99.0,100.0,98.99999999999999,100.0,100.0,96.0
mistral-large,100.0,98.99999999999999,99.0,98.0,98.0,79.5,71.0,28.999999999999996,66.0,64.0,48.0,48.0,19.0,31.0
mistral-8x7b,95.33333333333333,89.33333333333334,72.0,91.0,65.0,85.00000000000001,90.0,56.99999999999999,45.49999999999999,61.0,48.0,67.0,71.0,57.99999999999999
llama-2-instruct,87.66666666666666,95.66666666666667,72.0,59.0,89.0,90.99999999999999,33.0,17.0,10.5,0.0,0.33333333333333337,7.000000000000001,1.0,62.0
llama-3-instruct,88.66666666666667,98.33333333333334,88.0,31.0,77.0,95.5,18.0,10.0,8.0,0.0,21.666666666666668,10.0,23.0,21.0
