task,model,source,lang,lpr,wpr
crosslingual,command-r,complex_prompts,ar,32.65%,90.62%
crosslingual,command-r,complex_prompts,de,31.58%,N/A
crosslingual,command-r,complex_prompts,es,39.58%,N/A
crosslingual,command-r,complex_prompts,fr,44.33%,N/A
crosslingual,command-r,complex_prompts,hi,33.67%,96.97%
crosslingual,command-r,complex_prompts,id,43.30%,N/A
crosslingual,command-r,complex_prompts,it,36.08%,N/A
crosslingual,command-r,complex_prompts,ja,38.78%,84.21%
crosslingual,command-r,complex_prompts,ko,39.58%,100.00%
crosslingual,command-r,complex_prompts,pt,30.61%,N/A
crosslingual,command-r,complex_prompts,ru,43.30%,95.24%
crosslingual,command-r,complex_prompts,tr,41.05%,N/A
crosslingual,command-r,complex_prompts,vi,36.73%,N/A
crosslingual,command-r,complex_prompts,zh,54.08%,90.57%
crosslingual,command-r,okapi,ar,65.00%,96.92%
crosslingual,command-r,okapi,de,73.00%,N/A
crosslingual,command-r,okapi,es,83.00%,N/A
crosslingual,command-r,okapi,fr,84.00%,N/A
crosslingual,command-r,okapi,hi,71.00%,100.00%
crosslingual,command-r,okapi,id,82.00%,N/A
crosslingual,command-r,okapi,it,76.00%,N/A
crosslingual,command-r,okapi,ja,72.00%,93.06%
crosslingual,command-r,okapi,ko,77.00%,96.10%
crosslingual,command-r,okapi,pt,82.00%,N/A
crosslingual,command-r,okapi,ru,74.00%,93.24%
crosslingual,command-r,okapi,tr,72.00%,N/A
crosslingual,command-r,okapi,vi,70.41%,N/A
crosslingual,command-r,okapi,zh,77.00%,92.21%
crosslingual,command-r,sharegpt,ar,87.00%,95.40%
crosslingual,command-r,sharegpt,de,85.00%,N/A
crosslingual,command-r,sharegpt,es,95.00%,N/A
crosslingual,command-r,sharegpt,fr,95.00%,N/A
crosslingual,command-r,sharegpt,hi,91.84%,98.89%
crosslingual,command-r,sharegpt,id,87.00%,N/A
crosslingual,command-r,sharegpt,it,85.00%,N/A
crosslingual,command-r,sharegpt,ja,85.00%,88.24%
crosslingual,command-r,sharegpt,ko,91.00%,95.60%
crosslingual,command-r,sharegpt,pt,89.00%,N/A
crosslingual,command-r,sharegpt,ru,91.00%,93.41%
crosslingual,command-r,sharegpt,tr,90.00%,N/A
crosslingual,command-r,sharegpt,vi,89.90%,N/A
crosslingual,command-r,sharegpt,zh,94.00%,90.43%
crosslingual,command-r,complex_prompts,all,38.95%,92.93%
crosslingual,command-r,okapi,all,75.60%,95.26%
crosslingual,command-r,sharegpt,all,89.70%,93.66%
crosslingual,command-r,all,ar,61.55%,94.32%
crosslingual,command-r,all,de,63.19%,N/A
crosslingual,command-r,all,es,72.53%,N/A
crosslingual,command-r,all,fr,74.44%,N/A
crosslingual,command-r,all,hi,65.50%,98.62%
crosslingual,command-r,all,id,70.77%,N/A
crosslingual,command-r,all,it,65.69%,N/A
crosslingual,command-r,all,ja,65.26%,88.50%
crosslingual,command-r,all,ko,69.19%,97.24%
crosslingual,command-r,all,pt,67.20%,N/A
crosslingual,command-r,all,ru,69.43%,93.96%
crosslingual,command-r,all,tr,67.68%,N/A
crosslingual,command-r,all,vi,65.68%,N/A
crosslingual,command-r,all,zh,75.03%,91.07%
crosslingual,command-r,all,all,68.08%,93.95%
monolingual,command-r,aya_human_annotated,ar,100.00%,97.94%
monolingual,command-r,aya_human_annotated,en,100.00%,N/A
monolingual,command-r,aya_human_annotated,pt,98.98%,N/A
monolingual,command-r,aya_human_annotated,tr,99.00%,N/A
monolingual,command-r,aya_human_annotated,zh,98.98%,89.69%
monolingual,command-r,dolly_human_edited,ar,100.00%,100.00%
monolingual,command-r,dolly_human_edited,es,95.96%,N/A
monolingual,command-r,dolly_human_edited,fr,98.99%,N/A
monolingual,command-r,dolly_human_edited,hi,100.00%,98.99%
monolingual,command-r,dolly_human_edited,ru,100.00%,96.00%
monolingual,command-r,native_prompts,es,95.00%,N/A
monolingual,command-r,native_prompts,fr,100.00%,N/A
monolingual,command-r,native_prompts,ja,100.00%,93.94%
monolingual,command-r,native_prompts,ko,100.00%,96.97%
monolingual,command-r,okapi,ar,100.00%,100.00%
monolingual,command-r,okapi,de,98.00%,N/A
monolingual,command-r,okapi,en,99.00%,N/A
monolingual,command-r,okapi,es,96.00%,N/A
monolingual,command-r,okapi,fr,99.00%,N/A
monolingual,command-r,okapi,id,92.00%,N/A
monolingual,command-r,okapi,it,99.00%,N/A
monolingual,command-r,okapi,pt,98.00%,N/A
monolingual,command-r,okapi,vi,99.00%,N/A
monolingual,command-r,okapi,zh,98.00%,94.90%
monolingual,command-r,aya_human_annotated,all,99.39%,93.81%
monolingual,command-r,dolly_human_edited,all,98.99%,98.33%
monolingual,command-r,native_prompts,all,98.75%,95.45%
monolingual,command-r,okapi,all,97.80%,97.45%
monolingual,command-r,all,ar,100.00%,99.31%
monolingual,command-r,all,en,99.50%,N/A
monolingual,command-r,all,pt,98.49%,N/A
monolingual,command-r,all,tr,99.00%,N/A
