task,model,source,lang,lpr,wpr
monolingual,command-r,all,zh,98.49%,92.29%
monolingual,command-r,all,es,95.65%,N/A
monolingual,command-r,all,fr,99.33%,N/A
monolingual,command-r,all,hi,100.00%,98.99%
monolingual,command-r,all,ru,100.00%,96.00%
monolingual,command-r,all,ja,100.00%,93.94%
monolingual,command-r,all,ko,100.00%,96.97%
monolingual,command-r,all,de,98.00%,N/A
monolingual,command-r,all,id,92.00%,N/A
monolingual,command-r,all,it,99.00%,N/A
monolingual,command-r,all,vi,99.00%,N/A
monolingual,command-r,all,all,98.56%,96.25%
crosslingual,mistral-large,complex_prompts,ar,36.36%,80.56%
crosslingual,mistral-large,complex_prompts,de,59.60%,N/A
crosslingual,mistral-large,complex_prompts,es,59.60%,N/A
crosslingual,mistral-large,complex_prompts,fr,59.60%,N/A
crosslingual,mistral-large,complex_prompts,hi,39.39%,92.31%
crosslingual,mistral-large,complex_prompts,id,52.53%,N/A
crosslingual,mistral-large,complex_prompts,it,54.55%,N/A
crosslingual,mistral-large,complex_prompts,ja,47.47%,85.11%
crosslingual,mistral-large,complex_prompts,ko,40.40%,85.00%
crosslingual,mistral-large,complex_prompts,pt,61.62%,N/A
crosslingual,mistral-large,complex_prompts,ru,50.00%,87.76%
crosslingual,mistral-large,complex_prompts,tr,55.56%,N/A
crosslingual,mistral-large,complex_prompts,vi,45.45%,N/A
crosslingual,mistral-large,complex_prompts,zh,44.44%,93.18%
crosslingual,mistral-large,okapi,ar,46.00%,100.00%
crosslingual,mistral-large,okapi,de,89.90%,N/A
crosslingual,mistral-large,okapi,es,83.00%,N/A
crosslingual,mistral-large,okapi,fr,87.00%,N/A
crosslingual,mistral-large,okapi,hi,70.00%,100.00%
crosslingual,mistral-large,okapi,id,57.00%,N/A
crosslingual,mistral-large,okapi,it,79.00%,N/A
crosslingual,mistral-large,okapi,ja,52.00%,98.08%
crosslingual,mistral-large,okapi,ko,52.00%,94.23%
crosslingual,mistral-large,okapi,pt,72.00%,N/A
crosslingual,mistral-large,okapi,ru,75.00%,100.00%
crosslingual,mistral-large,okapi,tr,75.00%,N/A
crosslingual,mistral-large,okapi,vi,62.00%,N/A
crosslingual,mistral-large,okapi,zh,52.00%,100.00%
crosslingual,mistral-large,sharegpt,ar,26.00%,100.00%
crosslingual,mistral-large,sharegpt,de,74.00%,N/A
crosslingual,mistral-large,sharegpt,es,63.00%,N/A
crosslingual,mistral-large,sharegpt,fr,69.00%,N/A
crosslingual,mistral-large,sharegpt,hi,66.00%,93.94%
crosslingual,mistral-large,sharegpt,id,68.00%,N/A
crosslingual,mistral-large,sharegpt,it,64.00%,N/A
crosslingual,mistral-large,sharegpt,ja,34.00%,91.18%
crosslingual,mistral-large,sharegpt,ko,31.00%,96.77%
crosslingual,mistral-large,sharegpt,pt,60.00%,N/A
crosslingual,mistral-large,sharegpt,ru,65.00%,90.77%
crosslingual,mistral-large,sharegpt,tr,67.00%,N/A
crosslingual,mistral-large,sharegpt,vi,57.00%,N/A
crosslingual,mistral-large,sharegpt,zh,43.00%,100.00%
crosslingual,mistral-large,complex_prompts,all,50.47%,87.32%
crosslingual,mistral-large,okapi,all,67.99%,98.72%
crosslingual,mistral-large,sharegpt,all,56.21%,95.44%
crosslingual,mistral-large,all,ar,36.12%,93.52%
crosslingual,mistral-large,all,de,74.50%,N/A
crosslingual,mistral-large,all,es,68.53%,N/A
crosslingual,mistral-large,all,fr,71.87%,N/A
crosslingual,mistral-large,all,hi,58.46%,95.42%
crosslingual,mistral-large,all,id,59.18%,N/A
crosslingual,mistral-large,all,it,65.85%,N/A
crosslingual,mistral-large,all,ja,44.49%,91.45%
crosslingual,mistral-large,all,ko,41.13%,92.00%
crosslingual,mistral-large,all,pt,64.54%,N/A
crosslingual,mistral-large,all,ru,63.33%,92.84%
crosslingual,mistral-large,all,tr,65.85%,N/A
crosslingual,mistral-large,all,vi,54.82%,N/A
crosslingual,mistral-large,all,zh,46.48%,97.73%
crosslingual,mistral-large,all,all,58.23%,93.83%
monolingual,mistral-large,aya_human_annotated,ar,65.00%,100.00%
monolingual,mistral-large,aya_human_annotated,en,99.00%,N/A
monolingual,mistral-large,aya_human_annotated,pt,82.00%,N/A
monolingual,mistral-large,aya_human_annotated,tr,71.00%,N/A
monolingual,mistral-large,aya_human_annotated,zh,93.00%,97.85%
monolingual,mistral-large,dolly_human_edited,ar,65.00%,100.00%
monolingual,mistral-large,dolly_human_edited,es,100.00%,N/A
monolingual,mistral-large,dolly_human_edited,fr,100.00%,N/A
monolingual,mistral-large,dolly_human_edited,hi,19.00%,94.74%
monolingual,mistral-large,dolly_human_edited,ru,98.00%,98.98%
monolingual,mistral-large,native_prompts,es,99.00%,N/A
monolingual,mistral-large,native_prompts,fr,100.00%,N/A
monolingual,mistral-large,native_prompts,ja,48.00%,97.92%
monolingual,mistral-large,native_prompts,ko,64.00%,100.00%
monolingual,mistral-large,okapi,ar,14.00%,100.00%
monolingual,mistral-large,okapi,de,98.00%,N/A
monolingual,mistral-large,okapi,en,99.00%,N/A
monolingual,mistral-large,okapi,es,98.00%,N/A
monolingual,mistral-large,okapi,fr,100.00%,N/A
monolingual,mistral-large,okapi,id,31.00%,N/A
monolingual,mistral-large,okapi,it,99.00%,N/A
monolingual,mistral-large,okapi,pt,77.00%,N/A
monolingual,mistral-large,okapi,vi,29.00%,N/A
monolingual,mistral-large,okapi,zh,39.00%,100.00%
monolingual,mistral-large,aya_human_annotated,all,82.00%,98.92%
monolingual,mistral-large,dolly_human_edited,all,76.40%,97.91%
monolingual,mistral-large,native_prompts,all,77.75%,98.96%
monolingual,mistral-large,okapi,all,68.40%,100.00%
monolingual,mistral-large,all,ar,48.00%,100.00%
monolingual,mistral-large,all,en,99.00%,N/A
monolingual,mistral-large,all,pt,79.50%,N/A
monolingual,mistral-large,all,tr,71.00%,N/A
monolingual,mistral-large,all,zh,66.00%,98.92%
monolingual,mistral-large,all,es,99.00%,N/A
monolingual,mistral-large,all,fr,100.00%,N/A
monolingual,mistral-large,all,hi,19.00%,94.74%
monolingual,mistral-large,all,ru,98.00%,98.98%
monolingual,mistral-large,all,ja,48.00%,97.92%
monolingual,mistral-large,all,ko,64.00%,100.00%
monolingual,mistral-large,all,de,98.00%,N/A
monolingual,mistral-large,all,id,31.00%,N/A
monolingual,mistral-large,all,it,99.00%,N/A
monolingual,mistral-large,all,vi,29.00%,N/A
monolingual,mistral-large,all,all,69.90%,98.43%
crosslingual,gpt-4-turbo,complex_prompts,ar,76.84%,93.15%
crosslingual,gpt-4-turbo,complex_prompts,de,82.98%,N/A
crosslingual,gpt-4-turbo,complex_prompts,es,82.29%,N/A
crosslingual,gpt-4-turbo,complex_prompts,fr,80.00%,N/A
crosslingual,gpt-4-turbo,complex_prompts,hi,77.08%,91.89%
crosslingual,gpt-4-turbo,complex_prompts,id,75.00%,N/A
crosslingual,gpt-4-turbo,complex_prompts,it,79.38%,N/A
crosslingual,gpt-4-turbo,complex_prompts,ja,77.08%,87.84%
crosslingual,gpt-4-turbo,complex_prompts,ko,78.26%,90.28%
crosslingual,gpt-4-turbo,complex_prompts,pt,77.08%,N/A
crosslingual,gpt-4-turbo,complex_prompts,ru,77.08%,89.19%
crosslingual,gpt-4-turbo,complex_prompts,tr,79.17%,N/A
crosslingual,gpt-4-turbo,complex_prompts,vi,77.08%,N/A
crosslingual,gpt-4-turbo,complex_prompts,zh,68.69%,91.18%
crosslingual,gpt-4-turbo,okapi,ar,94.00%,100.00%
crosslingual,gpt-4-turbo,okapi,de,99.00%,N/A
crosslingual,gpt-4-turbo,okapi,es,98.00%,N/A
crosslingual,gpt-4-turbo,okapi,fr,95.00%,N/A
crosslingual,gpt-4-turbo,okapi,hi,99.00%,100.00%
crosslingual,gpt-4-turbo,okapi,id,93.00%,N/A
crosslingual,gpt-4-turbo,okapi,it,99.00%,N/A
crosslingual,gpt-4-turbo,okapi,ja,93.00%,98.92%
crosslingual,gpt-4-turbo,okapi,ko,94.85%,100.00%
crosslingual,gpt-4-turbo,okapi,pt,96.00%,N/A
crosslingual,gpt-4-turbo,okapi,ru,98.00%,100.00%
crosslingual,gpt-4-turbo,okapi,tr,98.00%,N/A
crosslingual,gpt-4-turbo,okapi,vi,99.00%,N/A
crosslingual,gpt-4-turbo,okapi,zh,97.00%,100.00%
crosslingual,gpt-4-turbo,sharegpt,ar,96.00%,98.96%
crosslingual,gpt-4-turbo,sharegpt,de,97.00%,N/A
crosslingual,gpt-4-turbo,sharegpt,es,99.00%,N/A
crosslingual,gpt-4-turbo,sharegpt,fr,97.00%,N/A
crosslingual,gpt-4-turbo,sharegpt,hi,97.00%,100.00%
crosslingual,gpt-4-turbo,sharegpt,id,94.00%,N/A
crosslingual,gpt-4-turbo,sharegpt,it,97.00%,N/A
crosslingual,gpt-4-turbo,sharegpt,ja,93.00%,100.00%
crosslingual,gpt-4-turbo,sharegpt,ko,96.00%,100.00%
crosslingual,gpt-4-turbo,sharegpt,pt,100.00%,N/A
crosslingual,gpt-4-turbo,sharegpt,ru,95.00%,97.89%
crosslingual,gpt-4-turbo,sharegpt,tr,97.00%,N/A
crosslingual,gpt-4-turbo,sharegpt,vi,94.00%,N/A
crosslingual,gpt-4-turbo,sharegpt,zh,98.00%,100.00%
crosslingual,gpt-4-turbo,complex_prompts,all,77.72%,90.59%
crosslingual,gpt-4-turbo,okapi,all,96.63%,99.82%
crosslingual,gpt-4-turbo,sharegpt,all,96.43%,99.48%
crosslingual,gpt-4-turbo,all,ar,88.95%,97.37%
crosslingual,gpt-4-turbo,all,de,92.99%,N/A
crosslingual,gpt-4-turbo,all,es,93.10%,N/A
crosslingual,gpt-4-turbo,all,fr,90.67%,N/A
crosslingual,gpt-4-turbo,all,hi,91.03%,97.30%
crosslingual,gpt-4-turbo,all,id,87.33%,N/A
crosslingual,gpt-4-turbo,all,it,91.79%,N/A
crosslingual,gpt-4-turbo,all,ja,87.69%,95.59%
crosslingual,gpt-4-turbo,all,ko,89.70%,96.76%
crosslingual,gpt-4-turbo,all,pt,91.03%,N/A
crosslingual,gpt-4-turbo,all,ru,90.03%,95.69%
crosslingual,gpt-4-turbo,all,tr,91.39%,N/A
crosslingual,gpt-4-turbo,all,vi,90.03%,N/A
crosslingual,gpt-4-turbo,all,zh,87.90%,97.06%
crosslingual,gpt-4-turbo,all,all,90.26%,96.63%
monolingual,gpt-4-turbo,aya_human_annotated,ar,97.98%,100.00%
monolingual,gpt-4-turbo,aya_human_annotated,en,100.00%,N/A
monolingual,gpt-4-turbo,aya_human_annotated,pt,100.00%,N/A
monolingual,gpt-4-turbo,aya_human_annotated,tr,100.00%,N/A
monolingual,gpt-4-turbo,aya_human_annotated,zh,99.00%,97.98%
monolingual,gpt-4-turbo,dolly_human_edited,ar,98.99%,100.00%
monolingual,gpt-4-turbo,dolly_human_edited,es,100.00%,N/A
monolingual,gpt-4-turbo,dolly_human_edited,fr,100.00%,N/A
monolingual,gpt-4-turbo,dolly_human_edited,hi,100.00%,100.00%
monolingual,gpt-4-turbo,dolly_human_edited,ru,100.00%,100.00%
monolingual,gpt-4-turbo,native_prompts,es,98.00%,N/A
monolingual,gpt-4-turbo,native_prompts,fr,98.99%,N/A
monolingual,gpt-4-turbo,native_prompts,ja,100.00%,100.00%
monolingual,gpt-4-turbo,native_prompts,ko,100.00%,98.98%
monolingual,gpt-4-turbo,okapi,ar,100.00%,100.00%
monolingual,gpt-4-turbo,okapi,de,100.00%,N/A
monolingual,gpt-4-turbo,okapi,en,100.00%,N/A
monolingual,gpt-4-turbo,okapi,es,100.00%,N/A
monolingual,gpt-4-turbo,okapi,fr,99.00%,N/A
monolingual,gpt-4-turbo,okapi,id,96.00%,N/A
monolingual,gpt-4-turbo,okapi,it,99.00%,N/A
monolingual,gpt-4-turbo,okapi,pt,96.00%,N/A
monolingual,gpt-4-turbo,okapi,vi,100.00%,N/A
monolingual,gpt-4-turbo,okapi,zh,99.00%,100.00%
monolingual,gpt-4-turbo,aya_human_annotated,all,99.40%,98.99%
monolingual,gpt-4-turbo,dolly_human_edited,all,99.80%,100.00%
monolingual,gpt-4-turbo,native_prompts,all,99.25%,99.49%
monolingual,gpt-4-turbo,okapi,all,98.90%,100.00%
monolingual,gpt-4-turbo,all,ar,98.99%,100.00%
monolingual,gpt-4-turbo,all,en,100.00%,N/A
monolingual,gpt-4-turbo,all,pt,98.00%,N/A
monolingual,gpt-4-turbo,all,tr,100.00%,N/A
monolingual,gpt-4-turbo,all,zh,99.00%,98.99%
monolingual,gpt-4-turbo,all,es,99.33%,N/A
monolingual,gpt-4-turbo,all,fr,99.33%,N/A
monolingual,gpt-4-turbo,all,hi,100.00%,100.00%
monolingual,gpt-4-turbo,all,ru,100.00%,100.00%
monolingual,gpt-4-turbo,all,ja,100.00%,100.00%
monolingual,gpt-4-turbo,all,ko,100.00%,98.98%
monolingual,gpt-4-turbo,all,de,100.00%,N/A
monolingual,gpt-4-turbo,all,id,96.00%,N/A
monolingual,gpt-4-turbo,all,it,99.00%,N/A
monolingual,gpt-4-turbo,all,vi,100.00%,N/A
monolingual,gpt-4-turbo,all,all,99.31%,99.66%
crosslingual,llama-2-instruct,complex_prompts,ar,12.09%,81.82%
crosslingual,llama-2-instruct,complex_prompts,de,36.84%,N/A
crosslingual,llama-2-instruct,complex_prompts,es,56.84%,N/A
crosslingual,llama-2-instruct,complex_prompts,fr,47.37%,N/A
crosslingual,llama-2-instruct,complex_prompts,hi,13.54%,84.62%
crosslingual,llama-2-instruct,complex_prompts,id,21.88%,N/A
crosslingual,llama-2-instruct,complex_prompts,it,39.36%,N/A
crosslingual,llama-2-instruct,complex_prompts,ja,15.62%,73.33%
crosslingual,llama-2-instruct,complex_prompts,ko,5.32%,100.00%
crosslingual,llama-2-instruct,complex_prompts,pt,54.74%,N/A
crosslingual,llama-2-instruct,complex_prompts,ru,29.79%,82.14%
crosslingual,llama-2-instruct,complex_prompts,tr,15.05%,N/A
crosslingual,llama-2-instruct,complex_prompts,vi,6.25%,N/A
crosslingual,llama-2-instruct,complex_prompts,zh,5.21%,80.00%
crosslingual,llama-2-instruct,okapi,ar,12.00%,100.00%
crosslingual,llama-2-instruct,okapi,de,54.00%,N/A
crosslingual,llama-2-instruct,okapi,es,91.00%,N/A
crosslingual,llama-2-instruct,okapi,fr,79.00%,N/A
crosslingual,llama-2-instruct,okapi,hi,19.00%,84.21%
crosslingual,llama-2-instruct,okapi,id,58.00%,N/A
crosslingual,llama-2-instruct,okapi,it,76.00%,N/A
crosslingual,llama-2-instruct,okapi,ja,13.00%,100.00%
crosslingual,llama-2-instruct,okapi,ko,4.00%,100.00%
crosslingual,llama-2-instruct,okapi,pt,84.00%,N/A
crosslingual,llama-2-instruct,okapi,ru,43.00%,86.05%
crosslingual,llama-2-instruct,okapi,tr,29.00%,N/A
crosslingual,llama-2-instruct,okapi,vi,36.00%,N/A
crosslingual,llama-2-instruct,okapi,zh,10.00%,70.00%
crosslingual,llama-2-instruct,sharegpt,ar,13.00%,92.31%
crosslingual,llama-2-instruct,sharegpt,de,66.00%,N/A
crosslingual,llama-2-instruct,sharegpt,es,84.00%,N/A
crosslingual,llama-2-instruct,sharegpt,fr,87.00%,N/A
crosslingual,llama-2-instruct,sharegpt,hi,31.00%,87.10%
crosslingual,llama-2-instruct,sharegpt,id,58.00%,N/A
crosslingual,llama-2-instruct,sharegpt,it,84.00%,N/A
crosslingual,llama-2-instruct,sharegpt,ja,20.00%,80.00%
crosslingual,llama-2-instruct,sharegpt,ko,5.00%,60.00%
crosslingual,llama-2-instruct,sharegpt,pt,89.00%,N/A
crosslingual,llama-2-instruct,sharegpt,ru,42.00%,76.19%
crosslingual,llama-2-instruct,sharegpt,tr,28.00%,N/A
crosslingual,llama-2-instruct,sharegpt,vi,19.00%,N/A
crosslingual,llama-2-instruct,sharegpt,zh,18.00%,77.78%
crosslingual,llama-2-instruct,complex_prompts,all,25.71%,83.65%
crosslingual,llama-2-instruct,okapi,all,43.43%,90.04%
crosslingual,llama-2-instruct,sharegpt,all,46.00%,78.90%
crosslingual,llama-2-instruct,all,ar,12.36%,91.38%
crosslingual,llama-2-instruct,all,de,52.28%,N/A
crosslingual,llama-2-instruct,all,es,77.28%,N/A
crosslingual,llama-2-instruct,all,fr,71.12%,N/A
crosslingual,llama-2-instruct,all,hi,21.18%,85.31%
crosslingual,llama-2-instruct,all,id,45.96%,N/A
crosslingual,llama-2-instruct,all,it,66.45%,N/A
crosslingual,llama-2-instruct,all,ja,16.21%,84.44%
crosslingual,llama-2-instruct,all,ko,4.77%,86.67%
crosslingual,llama-2-instruct,all,pt,75.91%,N/A
crosslingual,llama-2-instruct,all,ru,38.26%,81.46%
crosslingual,llama-2-instruct,all,tr,24.02%,N/A
crosslingual,llama-2-instruct,all,vi,20.42%,N/A
crosslingual,llama-2-instruct,all,zh,11.07%,75.93%
crosslingual,llama-2-instruct,all,all,38.38%,84.20%
monolingual,llama-2-instruct,aya_human_annotated,ar,1.00%,100.00%
monolingual,llama-2-instruct,aya_human_annotated,en,99.00%,N/A
monolingual,llama-2-instruct,aya_human_annotated,pt,97.00%,N/A
monolingual,llama-2-instruct,aya_human_annotated,tr,33.00%,N/A
monolingual,llama-2-instruct,aya_human_annotated,zh,18.00%,88.89%
monolingual,llama-2-instruct,dolly_human_edited,ar,0.00%,100.00%
monolingual,llama-2-instruct,dolly_human_edited,es,99.00%,N/A
monolingual,llama-2-instruct,dolly_human_edited,fr,87.00%,N/A
monolingual,llama-2-instruct,dolly_human_edited,hi,1.00%,100.00%
monolingual,llama-2-instruct,dolly_human_edited,ru,88.89%,93.18%
monolingual,llama-2-instruct,native_prompts,es,96.00%,N/A
monolingual,llama-2-instruct,native_prompts,fr,93.00%,N/A
monolingual,llama-2-instruct,native_prompts,ja,7.00%,100.00%
monolingual,llama-2-instruct,native_prompts,ko,0.00%,100.00%
monolingual,llama-2-instruct,okapi,ar,0.00%,100.00%
monolingual,llama-2-instruct,okapi,de,59.00%,N/A
monolingual,llama-2-instruct,okapi,en,99.00%,N/A
monolingual,llama-2-instruct,okapi,es,92.00%,N/A
monolingual,llama-2-instruct,okapi,fr,83.00%,N/A
monolingual,llama-2-instruct,okapi,id,62.00%,N/A
monolingual,llama-2-instruct,okapi,it,72.00%,N/A
monolingual,llama-2-instruct,okapi,pt,85.00%,N/A
monolingual,llama-2-instruct,okapi,vi,17.00%,N/A
monolingual,llama-2-instruct,okapi,zh,3.00%,100.00%
monolingual,llama-2-instruct,aya_human_annotated,all,49.60%,94.44%
monolingual,llama-2-instruct,dolly_human_edited,all,55.18%,97.73%
monolingual,llama-2-instruct,native_prompts,all,49.00%,100.00%
monolingual,llama-2-instruct,okapi,all,57.20%,100.00%
monolingual,llama-2-instruct,all,ar,0.33%,100.00%
monolingual,llama-2-instruct,all,en,99.00%,N/A
monolingual,llama-2-instruct,all,pt,91.00%,N/A
monolingual,llama-2-instruct,all,tr,33.00%,N/A
monolingual,llama-2-instruct,all,zh,10.50%,94.44%
monolingual,llama-2-instruct,all,es,95.67%,N/A
monolingual,llama-2-instruct,all,fr,87.67%,N/A
monolingual,llama-2-instruct,all,hi,1.00%,100.00%
monolingual,llama-2-instruct,all,ru,88.89%,93.18%
monolingual,llama-2-instruct,all,ja,7.00%,100.00%
monolingual,llama-2-instruct,all,ko,0.00%,100.00%
monolingual,llama-2-instruct,all,de,59.00%,N/A
monolingual,llama-2-instruct,all,id,62.00%,N/A
monolingual,llama-2-instruct,all,it,72.00%,N/A
monolingual,llama-2-instruct,all,vi,17.00%,N/A
monolingual,llama-2-instruct,all,all,48.27%,97.94%
crosslingual,command-r-base,complex_prompts,ar,0.00%,100.00%
crosslingual,command-r-base,complex_prompts,de,2.60%,N/A
crosslingual,command-r-base,complex_prompts,es,3.61%,N/A
crosslingual,command-r-base,complex_prompts,fr,0.00%,N/A
crosslingual,command-r-base,complex_prompts,hi,1.27%,100.00%
crosslingual,command-r-base,complex_prompts,id,1.32%,N/A
crosslingual,command-r-base,complex_prompts,it,2.67%,N/A
crosslingual,command-r-base,complex_prompts,ja,1.23%,100.00%
crosslingual,command-r-base,complex_prompts,ko,0.00%,100.00%
crosslingual,command-r-base,complex_prompts,pt,3.90%,N/A
crosslingual,command-r-base,complex_prompts,ru,0.00%,100.00%
crosslingual,command-r-base,complex_prompts,tr,0.00%,N/A
crosslingual,command-r-base,complex_prompts,vi,0.00%,N/A
crosslingual,command-r-base,complex_prompts,zh,4.94%,100.00%
crosslingual,command-r-base,okapi,ar,0.00%,100.00%
crosslingual,command-r-base,okapi,de,0.00%,N/A
crosslingual,command-r-base,okapi,es,0.00%,N/A
crosslingual,command-r-base,okapi,fr,0.00%,N/A
crosslingual,command-r-base,okapi,hi,0.00%,100.00%
crosslingual,command-r-base,okapi,id,0.00%,N/A
crosslingual,command-r-base,okapi,it,0.00%,N/A
crosslingual,command-r-base,okapi,ja,0.00%,100.00%
crosslingual,command-r-base,okapi,ko,0.00%,100.00%
crosslingual,command-r-base,okapi,pt,0.00%,N/A
crosslingual,command-r-base,okapi,ru,0.00%,100.00%
crosslingual,command-r-base,okapi,tr,0.00%,N/A
crosslingual,command-r-base,okapi,vi,0.00%,N/A
crosslingual,command-r-base,okapi,zh,2.00%,100.00%
crosslingual,command-r-base,sharegpt,ar,0.00%,100.00%
crosslingual,command-r-base,sharegpt,de,0.00%,N/A
crosslingual,command-r-base,sharegpt,es,0.00%,N/A
crosslingual,command-r-base,sharegpt,fr,0.00%,N/A
crosslingual,command-r-base,sharegpt,hi,0.00%,100.00%
crosslingual,command-r-base,sharegpt,id,0.00%,N/A
crosslingual,command-r-base,sharegpt,it,0.00%,N/A
crosslingual,command-r-base,sharegpt,ja,0.00%,100.00%
crosslingual,command-r-base,sharegpt,ko,2.04%,50.00%
crosslingual,command-r-base,sharegpt,pt,0.00%,N/A
crosslingual,command-r-base,sharegpt,ru,0.00%,100.00%
crosslingual,command-r-base,sharegpt,tr,0.00%,N/A
crosslingual,command-r-base,sharegpt,vi,0.00%,N/A
crosslingual,command-r-base,sharegpt,zh,2.04%,100.00%
crosslingual,command-r-base,complex_prompts,all,1.54%,100.00%
crosslingual,command-r-base,okapi,all,0.14%,100.00%
crosslingual,command-r-base,sharegpt,all,0.29%,91.67%
crosslingual,command-r-base,all,ar,0.00%,100.00%
crosslingual,command-r-base,all,de,0.87%,N/A
crosslingual,command-r-base,all,es,1.20%,N/A
crosslingual,command-r-base,all,fr,0.00%,N/A
crosslingual,command-r-base,all,hi,0.42%,100.00%
crosslingual,command-r-base,all,id,0.44%,N/A
crosslingual,command-r-base,all,it,0.89%,N/A
crosslingual,command-r-base,all,ja,0.41%,100.00%
crosslingual,command-r-base,all,ko,0.68%,83.33%
crosslingual,command-r-base,all,pt,1.30%,N/A
