LLM,source,lang,task,avg_line_weighted_entropy,avg_word_weighted_entropy,lpr,wpr
command-r,okapi,hin,crosslingual,0.12934639208536658,0.46740202731308744,0.71,1.0
command-r,okapi,ind,crosslingual,0.2647142338381703,1.2747990618867786,0.82,
command-r,okapi,ind,monolingual,0.238375828901703,1.1865098598707473,0.92,
command-r,okapi,ita,crosslingual,0.1578019036730279,1.1214895305601063,0.76,
command-r,okapi,ita,monolingual,0.009165103714621009,0.9512590900504212,0.99,
command-r,okapi,jpn,crosslingual,0.12751360963756012,0.5525506977787416,0.72,0.93
command-r,okapi,kor,crosslingual,0.06688201970584289,0.15869659205310618,0.77,0.96
command-r,okapi,por,crosslingual,0.10117000332838344,1.0959976232174558,0.82,
command-r,okapi,por,monolingual,0.026462137485350597,1.0090563953332765,0.98,
command-r,okapi,rus,crosslingual,0.1088528727057365,0.6344077437567825,0.74,0.93
command-r,okapi,spa,crosslingual,0.08824623878289019,0.9724401922513909,0.83,
command-r,okapi,spa,monolingual,0.04557797927911248,0.9649106998897803,0.96,
command-r,okapi,tur,crosslingual,0.1365159911501772,0.5786514767887178,0.72,
command-r,okapi,vie,crosslingual,0.1281696503055222,0.44623640494238503,0.7,
command-r,okapi,vie,monolingual,0.009920572663888171,0.4058641955666147,0.99,
command-r,okapi,zho,crosslingual,0.08842480778021777,0.3126318752708818,0.77,0.92
command-r,okapi,zho,monolingual,0.0,0.07372327055930837,0.98,0.95
command-r,sharegpt,ara,crosslingual,0.04040426668463442,0.20156176149809554,0.87,0.95
command-r,sharegpt,deu,crosslingual,0.07173472227372209,0.5079615834508189,0.85,
command-r,sharegpt,fra,crosslingual,0.08706343952276228,0.9141303703380558,0.95,
command-r,sharegpt,hin,crosslingual,0.08236805388520953,0.40803207457207125,0.92,0.99
command-r,sharegpt,ind,crosslingual,0.10188994869588652,1.2255051711769753,0.87,
command-r,sharegpt,ita,crosslingual,0.08053868210240114,0.9189281425202682,0.85,
command-r,sharegpt,jpn,crosslingual,0.06465635014664667,0.28510530982431453,0.85,0.88
command-r,sharegpt,kor,crosslingual,0.03375497206176352,0.0619575116928095,0.91,0.96
command-r,sharegpt,por,crosslingual,0.06725780399499728,0.9385190466635912,0.89,
command-r,sharegpt,rus,crosslingual,0.04841313721972508,0.6329707381740672,0.91,0.93
command-r,sharegpt,spa,crosslingual,0.055061275541430435,0.9089931440029886,0.95,
command-r,sharegpt,tur,crosslingual,0.04577383260002245,0.4393051830786438,0.9,
command-r,sharegpt,vie,crosslingual,0.06109527048394236,0.38901840815999245,0.9,
command-r,sharegpt,zho,crosslingual,0.02489844777833222,0.21587969831095313,0.94,0.9
command-r-base,aya-human-annotated,ara,monolingual,0.1756643242285806,0.2998164185910678,,
command-r-base,aya-human-annotated,eng,monolingual,0.06496720940649676,0.20253543563326246,,
command-r-base,aya-human-annotated,por,monolingual,0.26731959170360176,1.0195896391665362,,
command-r-base,aya-human-annotated,tur,monolingual,0.1942116841193338,0.5468082825099657,,
command-r-base,aya-human-annotated,zho,monolingual,0.0898607780503733,0.4042109126623137,,
command-r-base,complex-prompts,ara,crosslingual,0.1527115556499001,0.36327695014759565,,
command-r-base,complex-prompts,deu,crosslingual,0.0894175296644593,0.5679513186695894,,
command-r-base,complex-prompts,fra,crosslingual,0.21030007523938807,1.436359101940527,,
command-r-base,complex-prompts,hin,crosslingual,0.16556511704146898,0.38768889776229626,,
command-r-base,complex-prompts,ind,crosslingual,0.23836613977149676,1.0079181713160836,,
command-r-base,complex-prompts,ita,crosslingual,0.11640632395041894,0.7243702031031254,,
command-r-base,complex-prompts,jpn,crosslingual,0.14266610091248702,0.4744621546178628,,
command-r-base,complex-prompts,kor,crosslingual,0.14272958475572198,0.3575961977294567,,
command-r-base,complex-prompts,por,crosslingual,0.23404492893996054,1.387442121237203,,
command-r-base,complex-prompts,rus,crosslingual,0.1284578107521222,0.4107155711763643,,
command-r-base,complex-prompts,spa,crosslingual,0.18602774242757528,0.5418612176016706,,
command-r-base,complex-prompts,tur,crosslingual,0.1335391528425437,0.42057859269684245,,
command-r-base,complex-prompts,vie,crosslingual,0.1168729031079292,0.35854679973051645,,
command-r-base,complex-prompts,zho,crosslingual,0.14638151605086086,0.46900889849274136,,
command-r-base,dolly-human-edited,ara,monolingual,0.1970197878479798,0.25531629070356493,,
command-r-base,dolly-human-edited,fra,monolingual,0.2629947255685061,1.010037181723235,,
command-r-base,dolly-human-edited,hin,monolingual,0.4344470219054966,0.7301219519149512,,
command-r-base,dolly-human-edited,rus,monolingual,0.19433408080577314,0.7609367615929891,,
command-r-base,dolly-human-edited,spa,monolingual,0.1935097180185469,0.9469523484346616,,
command-r-base,native-prompts,fra,monolingual,0.1706832511642707,0.8293230503816618,,
command-r-base,native-prompts,jpn,monolingual,0.32219008978656927,0.25315607244909527,,
command-r-base,native-prompts,kor,monolingual,0.07171195311095001,0.09520632953195111,,
command-r-base,native-prompts,spa,monolingual,0.18500213883239228,0.8087797000740556,,
command-r-base,okapi,ara,crosslingual,0.06789495278742366,0.18788520831966024,0.0,1.0
command-r-base,okapi,ara,monolingual,0.21560848620710849,0.27839129789421446,0.93,0.96
command-r-base,okapi,deu,crosslingual,0.10531265003684366,0.46589154268216226,0.0,
command-r-base,okapi,deu,monolingual,0.2248224434082337,0.46949818721420167,0.84,
command-r-base,okapi,eng,monolingual,0.04930732311026243,0.19445443687721983,0.99,
command-r-base,okapi,fra,crosslingual,0.19952230081210193,1.4003341694291256,0.0,
command-r-base,okapi,fra,monolingual,0.31381935822712065,1.128855096132102,0.82,
command-r-base,okapi,hin,crosslingual,0.09304216550038293,0.30008422703764576,0.0,1.0
command-r-base,okapi,ind,crosslingual,0.17112370739967397,2.4502998543542613,0.0,
command-r-base,okapi,ind,monolingual,0.5699703693081942,1.4420493562477008,0.69,
command-r-base,okapi,ita,crosslingual,0.09049483085825734,0.32173260795991687,0.0,
command-r-base,okapi,ita,monolingual,0.2863111277585184,0.9287608617929384,0.79,
command-r-base,okapi,jpn,crosslingual,0.06976455584852365,0.239009622545121,0.0,1.0
command-r-base,okapi,kor,crosslingual,0.07663313962651504,0.2565230009174261,0.0,1.0
command-r-base,okapi,por,crosslingual,0.08059216616065733,2.75110520319505,0.0,
command-r-base,okapi,por,monolingual,0.1996398554568469,0.9729500416015756,0.75,
command-r-base,okapi,rus,crosslingual,0.06839279662467447,0.2453081450737419,0.0,1.0
command-r-base,okapi,spa,crosslingual,0.08888222190003191,0.46835836057307234,0.0,
command-r-base,okapi,spa,monolingual,0.32045311456614006,1.1289789418227856,0.83,
command-r-base,okapi,tur,crosslingual,0.1418438258705535,0.40389652918972907,0.0,
command-r-base,okapi,vie,crosslingual,0.2526546371659957,0.4702976315861471,0.0,
command-r-base,okapi,vie,monolingual,0.2901966059479931,0.5311133194928296,0.8,
command-r-base,okapi,zho,crosslingual,0.09617711401084056,0.28055969177596657,0.02,1.0
command-r-base,okapi,zho,monolingual,0.274561245715786,0.6129322689151412,0.56,1.0
command-r-base,sharegpt,ara,crosslingual,0.03781401068913373,0.24188905276907027,0.0,1.0
command-r-base,sharegpt,deu,crosslingual,0.08607245334336272,0.6071157006221064,0.0,
command-r-base,sharegpt,fra,crosslingual,0.08018836032553153,1.6578630296818653,0.0,
command-r-base,sharegpt,hin,crosslingual,0.05072721881116407,0.26868659567447706,0.0,1.0
command-r-base,sharegpt,ind,crosslingual,0.1118081454356522,1.0819584148129096,0.0,
command-r-base,sharegpt,ita,crosslingual,0.12273179574137746,0.6056758138659214,0.0,
command-r-base,sharegpt,jpn,crosslingual,0.08910236213822335,0.30462491401536557,0.0,1.0
command-r-base,sharegpt,kor,crosslingual,0.06973004990697894,0.3369556076668332,0.02,0.5
command-r-base,sharegpt,por,crosslingual,0.11810281628614076,1.16404568722663,0.0,
command-r-base,sharegpt,rus,crosslingual,0.07248050184843377,0.328572363264707,0.0,1.0
command-r-base,sharegpt,spa,crosslingual,0.06777502275385162,0.35180980925644184,0.0,
command-r-base,sharegpt,tur,crosslingual,0.11888049511804899,0.32893133941790703,0.0,
command-r-base,sharegpt,vie,crosslingual,0.1539756022422238,0.360186940646994,0.0,
command-r-base,sharegpt,zho,crosslingual,0.09483390770514177,0.3051450691442034,0.02,1.0
command-r-plus,aya-human-annotated,ara,monolingual,0.004184941083929179,0.1650697789650873,,
command-r-plus,aya-human-annotated,eng,monolingual,0.014012131191664166,0.3097153886178481,,
command-r-plus,aya-human-annotated,por,monolingual,0.02474190107840891,1.0198108968721922,,
command-r-plus,aya-human-annotated,tur,monolingual,0.00996032526138366,0.5002690731450266,,
command-r-plus,aya-human-annotated,zho,monolingual,0.0,0.24021151478353853,,
command-r-plus,complex-prompts,ara,crosslingual,0.14501019233731555,0.25994455551621376,,
command-r-plus,complex-prompts,deu,crosslingual,0.22856028406605555,0.5267150324351563,,
command-r-plus,complex-prompts,fra,crosslingual,0.31029109611966765,1.0490782317890537,,
command-r-plus,complex-prompts,hin,crosslingual,0.2661641212307093,0.6297400647449053,,
command-r-plus,complex-prompts,ind,crosslingual,0.6013142657112417,1.4329699333013852,,
command-r-plus,complex-prompts,ita,crosslingual,0.18931499426835663,0.9512747847031885,,
command-r-plus,complex-prompts,jpn,crosslingual,0.1538020319795528,0.3323132262151751,,
command-r-plus,complex-prompts,kor,crosslingual,0.1631664926171325,0.14941679875064476,,
command-r-plus,complex-prompts,por,crosslingual,0.3277001595572622,1.1731435383206816,,
command-r-plus,complex-prompts,rus,crosslingual,0.24149181011601084,0.7664846257473205,,
command-r-plus,complex-prompts,spa,crosslingual,0.3431587530903358,0.9342981414217043,,
command-r-plus,complex-prompts,tur,crosslingual,0.18889084563434627,0.6455328378210291,,
command-r-plus,complex-prompts,vie,crosslingual,0.2964385581356994,0.51274879268661,,
command-r-plus,complex-prompts,zho,crosslingual,0.16756756228462608,0.4250435705331159,,
command-r-plus,dolly-human-edited,ara,monolingual,0.0025561896023902396,0.1250158850154111,,
command-r-plus,dolly-human-edited,fra,monolingual,0.02859865005313599,0.9266702610762659,,
command-r-plus,dolly-human-edited,hin,monolingual,0.03866569110020959,0.40072460552371103,,
command-r-plus,dolly-human-edited,rus,monolingual,0.030904217883818988,0.6478478135141114,,
command-r-plus,dolly-human-edited,spa,monolingual,0.033649674287676526,0.9999812169100878,,
command-r-plus,native-prompts,fra,monolingual,0.0036651629274966203,0.888916874667582,,
command-r-plus,native-prompts,jpn,monolingual,0.01582327754304046,0.07849842075405877,,
command-r-plus,native-prompts,kor,monolingual,0.0,0.0056810209844812155,,
command-r-plus,native-prompts,spa,monolingual,0.04942497698851618,0.9223089606598178,,
command-r-plus,okapi,ara,crosslingual,0.010092541835472311,0.10639483591157459,0.99,1.0
command-r-plus,okapi,ara,monolingual,0.0033290869142097268,0.10791348777560339,1.0,1.0
command-r-plus,okapi,deu,crosslingual,0.07154876434481508,0.4086433839862412,0.98,
command-r-plus,okapi,deu,monolingual,0.037324637837654565,0.3873401664454738,1.0,
command-r-plus,okapi,eng,monolingual,0.05786426339308968,0.297345802189474,1.0,
command-r-plus,okapi,fra,crosslingual,0.02135975659779584,0.9323250846043721,0.98,
command-r-plus,okapi,fra,monolingual,0.005708465422560583,0.8945722038428705,1.0,
command-r-plus,okapi,hin,crosslingual,0.11634217801028407,0.4602752174701321,0.97,0.99
command-r-plus,okapi,ind,crosslingual,0.26015818418681813,1.3020907838089797,0.87,
command-r-plus,okapi,ind,monolingual,0.26733186668361875,1.2458107571206252,0.97,
command-r-plus,okapi,ita,crosslingual,0.018053474129139574,0.9973189460515477,0.99,
command-r-plus,okapi,ita,monolingual,0.0,0.9363485784883716,1.0,
command-r-plus,okapi,jpn,crosslingual,0.01763820418132746,0.07506582195577802,0.98,0.97
command-r-plus,okapi,kor,crosslingual,0.021871959697674942,0.026672588813657545,0.96,0.98
command-r-plus,okapi,por,crosslingual,0.09742336889243186,1.0758228840057507,0.92,
command-r-plus,okapi,por,monolingual,0.0191576612444179,1.0172294299898725,0.97,
command-r-plus,okapi,rus,crosslingual,0.05179213074013878,0.6325494335739043,0.98,0.92
command-r-plus,okapi,spa,crosslingual,0.09228541326031726,0.9621369158965182,0.95,
command-r-plus,okapi,spa,monolingual,0.014467824038681522,0.9839417741935311,0.99,
command-r-plus,okapi,tur,crosslingual,0.035548837616285814,0.5396078142776365,0.98,
command-r-plus,okapi,vie,crosslingual,0.039745428892137745,0.483464727814504,0.95,
command-r-plus,okapi,vie,monolingual,0.026374337220693253,0.3811753710983599,0.99,
command-r-plus,okapi,zho,crosslingual,0.008369882167858358,0.04888010319450789,0.95,0.99
command-r-plus,okapi,zho,monolingual,0.0,0.0062683546866084796,0.98,1.0
command-r-plus,sharegpt,ara,crosslingual,0.00498016263069183,0.11834988686673292,1.0,0.99
command-r-plus,sharegpt,deu,crosslingual,0.011974412472398176,0.37913997728075166,0.99,
command-r-plus,sharegpt,fra,crosslingual,0.038604844689607815,0.9002747043548753,0.98,
command-r-plus,sharegpt,hin,crosslingual,0.04461768428938093,0.4323333142220953,1.0,0.99
command-r-plus,sharegpt,ind,crosslingual,0.28613288251116265,1.2283993031558353,0.96,
command-r-plus,sharegpt,ita,crosslingual,0.03549744788655522,0.8846687159198798,0.99,
command-r-plus,sharegpt,jpn,crosslingual,0.03573490330887385,0.1536843901965151,0.98,0.98
command-r-plus,sharegpt,kor,crosslingual,0.0,0.024864356945037813,1.0,1.0
command-r-plus,sharegpt,por,crosslingual,0.0413962427230734,0.9864051240056646,0.99,
command-r-plus,sharegpt,rus,crosslingual,0.016891797066983114,0.6061236312498577,1.0,0.94
command-r-plus,sharegpt,spa,crosslingual,0.055093025569878364,0.9175275744340753,0.99,
command-r-plus,sharegpt,tur,crosslingual,0.020772984091168994,0.40961153227380714,0.98,
command-r-plus,sharegpt,vie,crosslingual,0.024900813153459152,0.37552827116581233,0.99,
command-r-plus,sharegpt,zho,crosslingual,0.006931471805599453,0.15041673431674277,0.97,0.96
command-r-plus-base,aya-human-annotated,ara,monolingual,0.16618353844630526,0.2853335982792426,,
command-r-plus-base,aya-human-annotated,eng,monolingual,0.0586337354147733,0.22546681702832697,,
command-r-plus-base,aya-human-annotated,por,monolingual,0.2256925864231015,0.973028394647623,,
command-r-plus-base,aya-human-annotated,tur,monolingual,0.11189867738948191,0.5993630290114336,,
command-r-plus-base,aya-human-annotated,zho,monolingual,0.1052280173631824,0.4510139645602796,,
command-r-plus-base,complex-prompts,ara,crosslingual,0.12404965840832351,0.3515232303748267,,
command-r-plus-base,complex-prompts,deu,crosslingual,0.1510881654641787,0.7471038494202267,,
command-r-plus-base,complex-prompts,fra,crosslingual,0.20925644603672516,1.2379509236492758,,
command-r-plus-base,complex-prompts,hin,crosslingual,0.14769351254633595,0.35550602159049727,,
command-r-plus-base,complex-prompts,ind,crosslingual,0.1986647283479429,1.182046804967818,,
command-r-plus-base,complex-prompts,ita,crosslingual,0.17600023695345696,0.9246845494693128,,
command-r-plus-base,complex-prompts,jpn,crosslingual,0.12034947205409424,0.37394082523185673,,
command-r-plus-base,complex-prompts,kor,crosslingual,0.19174721261359132,0.4068907731396407,,
command-r-plus-base,complex-prompts,por,crosslingual,0.1596098089499858,1.4076983647182009,,
command-r-plus-base,complex-prompts,rus,crosslingual,0.11224732661715138,0.4449129251031153,,
command-r-plus-base,complex-prompts,spa,crosslingual,0.1900555513814231,0.6537458350873506,,
command-r-plus-base,complex-prompts,tur,crosslingual,0.11134849017912897,0.41484894207574574,,
command-r-plus-base,complex-prompts,vie,crosslingual,0.09401254226295047,0.35652487056664234,,
command-r-plus-base,complex-prompts,zho,crosslingual,0.11978005645450063,0.4069402450132084,,
command-r-plus-base,dolly-human-edited,ara,monolingual,0.1711086255509299,0.2805418925088599,,
command-r-plus-base,dolly-human-edited,fra,monolingual,0.18115451052717532,0.9256957319191359,,
command-r-plus-base,dolly-human-edited,hin,monolingual,0.5295984032305531,0.7693873108518345,,
command-r-plus-base,dolly-human-edited,rus,monolingual,0.12261569196886084,0.6830725919910943,,
command-r-plus-base,dolly-human-edited,spa,monolingual,0.22982572636080842,1.0291298561062139,,
command-r-plus-base,native-prompts,fra,monolingual,0.2564895283261525,1.0109798994419263,,
command-r-plus-base,native-prompts,jpn,monolingual,0.2996086062649472,0.3969159859920312,,
command-r-plus-base,native-prompts,kor,monolingual,0.09094826872749658,0.08700523910998877,,
command-r-plus-base,native-prompts,spa,monolingual,0.3118225049915607,0.8981257471791848,,
command-r-plus-base,okapi,ara,crosslingual,0.06762626252889141,0.18314037907052125,0.0,1.0
command-r-plus-base,okapi,ara,monolingual,0.16982765735436087,0.2856911782228982,0.9,1.0
command-r-plus-base,okapi,deu,crosslingual,0.09037268423416613,0.5010258593628589,0.0,
command-r-plus-base,okapi,deu,monolingual,0.39029105954534693,0.6157149764294613,0.71,
command-r-plus-base,okapi,eng,monolingual,0.09182970997901949,0.2383821327047605,0.98,
command-r-plus-base,okapi,fra,crosslingual,0.2341813005806646,1.2222222813157348,0.0,
command-r-plus-base,okapi,fra,monolingual,0.35120012248464144,1.275272988309955,0.79,
command-r-plus-base,okapi,hin,crosslingual,0.09098268795013598,0.3074757575302587,0.0,1.0
command-r-plus-base,okapi,ind,crosslingual,0.10009187960992351,2.3004580377556865,0.0,
command-r-plus-base,okapi,ind,monolingual,0.6090109053469503,1.3391282837310476,0.81,
command-r-plus-base,okapi,ita,crosslingual,0.07865502880844538,0.43830746573129553,0.0,
command-r-plus-base,okapi,ita,monolingual,0.4161575665898314,1.097701874532949,0.65,
command-r-plus-base,okapi,jpn,crosslingual,0.11869086796745609,0.374442595769841,0.0,1.0
command-r-plus-base,okapi,kor,crosslingual,0.13403262376826625,0.24012440164472568,0.0,1.0
command-r-plus-base,okapi,por,crosslingual,0.1175780045658445,2.6095623356584743,0.0,
command-r-plus-base,okapi,por,monolingual,0.4347438374614272,1.2527129804927837,0.65,
command-r-plus-base,okapi,rus,crosslingual,0.07507275491094162,0.3015677827290796,0.01,0.0
command-r-plus-base,okapi,spa,crosslingual,0.10876255544937602,0.39926615383449837,0.0,
command-r-plus-base,okapi,spa,monolingual,0.40864234579590236,1.1341600459690209,0.67,
command-r-plus-base,okapi,tur,crosslingual,0.16261891748895801,0.4263671338009229,0.0,
command-r-plus-base,okapi,vie,crosslingual,0.21346144268828013,0.4411907919316212,0.01,
command-r-plus-base,okapi,vie,monolingual,0.35609663249574125,0.8653951250060857,0.71,
command-r-plus-base,okapi,zho,crosslingual,0.09512901060719381,0.265080768166649,0.03,1.0
command-r-plus-base,okapi,zho,monolingual,0.28063248355629006,0.7512391111663986,0.48,0.98
command-r-plus-base,sharegpt,ara,crosslingual,0.08446039701020179,0.31814555425474583,0.0,1.0
command-r-plus-base,sharegpt,deu,crosslingual,0.06721672414884776,0.5012339566753605,0.0,
command-r-plus-base,sharegpt,fra,crosslingual,0.2469492339390006,1.6463450852273604,0.0,
command-r-plus-base,sharegpt,hin,crosslingual,0.03087194389998474,0.2618054152861451,0.0,1.0
command-r-plus-base,sharegpt,ind,crosslingual,0.0826233618935301,1.1650528417131996,0.0,
command-r-plus-base,sharegpt,ita,crosslingual,0.09072314546666521,0.6646296184078501,0.0,
command-r-plus-base,sharegpt,jpn,crosslingual,0.07490671317554855,0.3097705253597101,0.01,1.0
command-r-plus-base,sharegpt,kor,crosslingual,0.07354871807744617,0.28267411585172425,0.0,1.0
command-r-plus-base,sharegpt,por,crosslingual,0.08961411334140328,1.4449797950933303,0.0,
command-r-plus-base,sharegpt,rus,crosslingual,0.08033942758362428,0.3583256706717381,0.0,1.0
command-r-plus-base,sharegpt,spa,crosslingual,0.061130535354046,0.2959941349001099,0.0,
command-r-plus-base,sharegpt,tur,crosslingual,0.09652480351562476,0.34836984853007685,0.0,
command-r-plus-base,sharegpt,vie,crosslingual,0.11729195335750435,0.40033309654153343,0.0,
command-r-plus-base,sharegpt,zho,crosslingual,0.09701580680602535,0.2485014183383751,0.02,1.0
gpt-3.5-turbo,aya-human-annotated,ara,monolingual,0.0,0.12237565840310456,,
gpt-3.5-turbo,aya-human-annotated,eng,monolingual,0.024428149300065184,0.25763100423436697,,
gpt-3.5-turbo,aya-human-annotated,por,monolingual,0.027008974971611564,0.9387502462926812,,
gpt-3.5-turbo,aya-human-annotated,tur,monolingual,0.00498016263069183,0.42814075158876624,,
gpt-3.5-turbo,aya-human-annotated,zho,monolingual,0.0,0.16130532984263193,,
gpt-3.5-turbo,complex-prompts,ara,crosslingual,0.21667054734822144,0.31323586587871866,,
gpt-3.5-turbo,complex-prompts,deu,crosslingual,0.27536110542400694,0.8304249232213107,,
gpt-3.5-turbo,complex-prompts,fra,crosslingual,0.2899369441342333,1.2229335277503515,,
gpt-3.5-turbo,complex-prompts,hin,crosslingual,0.2210001042372402,0.521225656877224,,
gpt-3.5-turbo,complex-prompts,ind,crosslingual,0.364099075736187,1.2567801357556905,,
gpt-3.5-turbo,complex-prompts,ita,crosslingual,0.27369732403918096,1.0861283497167042,,
gpt-3.5-turbo,complex-prompts,jpn,crosslingual,0.16513688450870878,0.3500387719612436,,
gpt-3.5-turbo,complex-prompts,kor,crosslingual,0.1695460820238171,0.2260511212317216,,
gpt-3.5-turbo,complex-prompts,por,crosslingual,0.2899276931159028,1.13898886117527,,
gpt-3.5-turbo,complex-prompts,rus,crosslingual,0.17313843203243087,0.6504129858299859,,
gpt-3.5-turbo,complex-prompts,spa,crosslingual,0.24992469521273053,1.0576160734119464,,
gpt-3.5-turbo,complex-prompts,tur,crosslingual,0.2520147021020361,0.710827972115466,,
gpt-3.5-turbo,complex-prompts,vie,crosslingual,0.21939879404492355,0.4548586355322636,,
gpt-3.5-turbo,complex-prompts,zho,crosslingual,0.1342158444219839,0.2817604248055622,,
gpt-3.5-turbo,dolly-human-edited,ara,monolingual,0.0,0.10259947618515647,,
gpt-3.5-turbo,dolly-human-edited,fra,monolingual,0.02571691472568311,0.9567584730856801,,
gpt-3.5-turbo,dolly-human-edited,hin,monolingual,0.05462762211115054,0.3937154470287605,,
gpt-3.5-turbo,dolly-human-edited,rus,monolingual,0.01678112109281668,0.6321540982926376,,
gpt-3.5-turbo,dolly-human-edited,spa,monolingual,0.050670175495363734,0.9454634045389162,,
gpt-3.5-turbo,native-prompts,fra,monolingual,0.04940065322133479,0.867706300739386,,
gpt-3.5-turbo,native-prompts,jpn,monolingual,0.005708465422560583,0.03699547024609457,,
gpt-3.5-turbo,native-prompts,kor,monolingual,0.0,0.008836991246419242,,
gpt-3.5-turbo,native-prompts,spa,monolingual,0.03317631762295149,0.8812507557884399,,
gpt-3.5-turbo,okapi,ara,crosslingual,0.0029637100445503834,0.09985197534990777,0.99,1.0
gpt-3.5-turbo,okapi,ara,monolingual,0.0,0.09088480904901294,1.0,1.0
gpt-3.5-turbo,okapi,deu,crosslingual,0.05078089488002588,0.4873650406960095,0.99,
gpt-3.5-turbo,okapi,deu,monolingual,0.02763957983948946,0.4325363549345538,1.0,
gpt-3.5-turbo,okapi,eng,monolingual,0.03679872489068776,0.2507767144305758,0.99,
gpt-3.5-turbo,okapi,fra,crosslingual,0.033577225595036474,0.8949448020331652,0.96,
gpt-3.5-turbo,okapi,fra,monolingual,0.0,0.8848542141543292,1.0,
gpt-3.5-turbo,okapi,hin,crosslingual,0.07920812456248429,0.41541830040371663,0.99,1.0
gpt-3.5-turbo,okapi,ind,crosslingual,0.25664358266655896,1.2124506283635874,0.9,
gpt-3.5-turbo,okapi,ind,monolingual,0.23366516237717355,1.2532080129655936,0.96,
gpt-3.5-turbo,okapi,ita,crosslingual,0.019530457782234598,0.9893261322252185,1.0,
gpt-3.5-turbo,okapi,ita,monolingual,0.01026055871980918,0.956656483574712,1.0,
gpt-3.5-turbo,okapi,jpn,crosslingual,0.0,0.07104884110167259,0.97,1.0
gpt-3.5-turbo,okapi,kor,crosslingual,0.0,0.027690423983043444,0.99,1.0
gpt-3.5-turbo,okapi,por,crosslingual,0.03147557300789479,0.9597845257853811,0.97,
gpt-3.5-turbo,okapi,por,monolingual,0.03138487313720466,0.9526627771110654,0.98,
gpt-3.5-turbo,okapi,rus,crosslingual,0.03144955489768576,0.5599354900623501,0.98,1.0
gpt-3.5-turbo,okapi,spa,crosslingual,0.028095244817145537,0.9249796226183488,1.0,
gpt-3.5-turbo,okapi,spa,monolingual,0.00498016263069183,0.9775473012974869,0.99,
gpt-3.5-turbo,okapi,tur,crosslingual,0.018047884695128084,0.5011972928928086,0.98,
gpt-3.5-turbo,okapi,vie,crosslingual,0.0025561896023902396,0.3588415396376023,0.99,
gpt-3.5-turbo,okapi,vie,monolingual,0.006991003137002213,0.3586650570219133,0.99,
gpt-3.5-turbo,okapi,zho,crosslingual,0.010111239280495532,0.05884150252269712,0.97,1.0
gpt-3.5-turbo,okapi,zho,monolingual,0.0,0.02135958047498094,0.99,1.0
gpt-3.5-turbo,sharegpt,ara,crosslingual,0.009562886365655464,0.10514453764351712,0.98,1.0
