LLM,source,lang,task,avg_line_weighted_entropy,avg_word_weighted_entropy,lpr,wpr
command-r,aya-human-annotated,ara,monolingual,0.0,0.17803955748972758,,
command-r,aya-human-annotated,eng,monolingual,0.010732277358552075,0.29392440933120456,,
command-r,aya-human-annotated,por,monolingual,0.0124509008717482,1.0098514873457634,,
command-r,aya-human-annotated,tur,monolingual,0.004184941083929179,0.5445135599708766,,
command-r,aya-human-annotated,zho,monolingual,0.0,0.32097687407691905,,
command-r,complex-prompts,ara,crosslingual,0.24016888036387862,0.5124386269811437,,
command-r,complex-prompts,deu,crosslingual,0.33887117529954913,0.9281556438778272,,
command-r,complex-prompts,fra,crosslingual,0.37514605603438717,1.4111455236637571,,
command-r,complex-prompts,hin,crosslingual,0.20675227245466124,0.5753303774414965,,
command-r,complex-prompts,ind,crosslingual,0.36446558745312585,1.108616856522969,,
command-r,complex-prompts,ita,crosslingual,0.278558722101876,1.2284709446118083,,
command-r,complex-prompts,jpn,crosslingual,0.2644891212011157,0.6451864780394126,,
command-r,complex-prompts,kor,crosslingual,0.25009997154599317,0.3756880620327776,,
command-r,complex-prompts,por,crosslingual,0.26893711442575224,0.811698536036476,,
command-r,complex-prompts,rus,crosslingual,0.2497481401144166,0.7178734846719893,,
command-r,complex-prompts,spa,crosslingual,0.3519631058347023,1.1300261188089946,,
command-r,complex-prompts,tur,crosslingual,0.2499108996507715,0.6556787441471494,,
command-r,complex-prompts,vie,crosslingual,0.2845371835754896,0.5640302283493875,,
command-r,complex-prompts,zho,crosslingual,0.18873180623387842,0.4755863221133926,,
command-r,dolly-human-edited,ara,monolingual,0.0,0.13336215345982358,,
command-r,dolly-human-edited,fra,monolingual,0.01491368024479693,0.9083318037151195,,
command-r,dolly-human-edited,hin,monolingual,0.01111641288952863,0.4161102784052466,,
command-r,dolly-human-edited,rus,monolingual,0.009312103637921919,0.6311647748849823,,
command-r,dolly-human-edited,spa,monolingual,0.02857415133659599,0.9516062154230811,,
command-r,native-prompts,fra,monolingual,0.05201284032627848,0.8888327680364133,,
command-r,native-prompts,jpn,monolingual,0.017108976389863223,0.04621277600950664,,
command-r,native-prompts,kor,monolingual,0.0,0.0031457805701965323,,
command-r,native-prompts,spa,monolingual,0.040280866556137405,0.9106743824605842,,
command-r,okapi,ara,crosslingual,0.06698826077977811,0.24305585788184902,0.65,0.97
command-r,okapi,ara,monolingual,0.00498016263069183,0.1159445514029423,1.0,1.0
command-r,okapi,deu,crosslingual,0.1677944472258993,0.5404180291708994,0.73,
command-r,okapi,deu,monolingual,0.0430401990244113,0.4097915265557221,0.98,
command-r,okapi,eng,monolingual,0.02228722964548705,0.2932336597861383,0.99,
command-r,okapi,fra,crosslingual,0.1204422563772918,0.957007094558522,0.84,
command-r,okapi,fra,monolingual,0.01473603825816173,0.9075642597440847,0.99,
