task,model,source,lang,lpr,wpr
monolingual,command-r-base,all,id,0.69,
monolingual,command-r-base,all,it,0.79,
monolingual,command-r-base,all,vi,0.8,
monolingual,command-r-base,all,all,0.86,0.98
crosslingual,llama-3-instruct,complex_prompts,ar,0.21,0.95
crosslingual,llama-3-instruct,complex_prompts,de,0.21,
crosslingual,llama-3-instruct,complex_prompts,es,0.36,
crosslingual,llama-3-instruct,complex_prompts,fr,0.33,
crosslingual,llama-3-instruct,complex_prompts,hi,0.25,1.0
crosslingual,llama-3-instruct,complex_prompts,id,0.12,
crosslingual,llama-3-instruct,complex_prompts,it,0.2,
crosslingual,llama-3-instruct,complex_prompts,ja,0.0,1.0
crosslingual,llama-3-instruct,complex_prompts,ko,0.0,1.0
crosslingual,llama-3-instruct,complex_prompts,pt,0.24,
crosslingual,llama-3-instruct,complex_prompts,ru,0.18,0.83
crosslingual,llama-3-instruct,complex_prompts,tr,0.091,
crosslingual,llama-3-instruct,complex_prompts,vi,0.071,
crosslingual,llama-3-instruct,complex_prompts,zh,0.0,1.0
