task,model,source,lang,lpr,wpr
monolingual,command-r,dolly_human_edited,es,0.96,
monolingual,command-r,dolly_human_edited,fr,0.99,
monolingual,command-r,dolly_human_edited,hi,1.0,0.99
monolingual,command-r,dolly_human_edited,ru,1.0,0.96
monolingual,command-r,native_prompts,es,0.95,
monolingual,command-r,native_prompts,fr,1.0,
monolingual,command-r,native_prompts,ja,1.0,0.94
monolingual,command-r,native_prompts,ko,1.0,0.97
monolingual,command-r,okapi,ar,1.0,1.0
monolingual,command-r,okapi,de,0.98,
monolingual,command-r,okapi,en,0.99,
monolingual,command-r,okapi,es,0.96,
monolingual,command-r,okapi,fr,0.99,
monolingual,command-r,okapi,id,0.92,
monolingual,command-r,okapi,it,0.99,
monolingual,command-r,okapi,pt,0.98,
monolingual,command-r,okapi,vi,0.99,
monolingual,command-r,okapi,zh,0.98,0.95
monolingual,command-r,aya_human_annotated,all,0.99,0.94
monolingual,command-r,dolly_human_edited,all,0.99,0.98
monolingual,command-r,native_prompts,all,0.99,0.95
monolingual,command-r,okapi,all,0.98,0.97
monolingual,command-r,all,ar,1.0,0.99
monolingual,command-r,all,en,0.99,
monolingual,command-r,all,pt,0.98,
monolingual,command-r,all,tr,0.99,
monolingual,command-r,all,zh,0.98,0.92
monolingual,command-r,all,es,0.96,
monolingual,command-r,all,fr,0.99,
monolingual,command-r,all,hi,1.0,0.99
monolingual,command-r,all,ru,1.0,0.96
monolingual,command-r,all,ja,1.0,0.94
monolingual,command-r,all,ko,1.0,0.97
monolingual,command-r,all,de,0.98,
monolingual,command-r,all,id,0.92,
monolingual,command-r,all,it,0.99,
monolingual,command-r,all,vi,0.99,
monolingual,command-r,all,all,0.99,0.96
crosslingual,mistral-large,complex_prompts,ar,0.36,0.81
crosslingual,mistral-large,complex_prompts,de,0.6,
crosslingual,mistral-large,complex_prompts,es,0.6,
crosslingual,mistral-large,complex_prompts,fr,0.6,
crosslingual,mistral-large,complex_prompts,hi,0.39,0.92
crosslingual,mistral-large,complex_prompts,id,0.53,
crosslingual,mistral-large,complex_prompts,it,0.55,
crosslingual,mistral-large,complex_prompts,ja,0.47,0.85
crosslingual,mistral-large,complex_prompts,ko,0.4,0.85
crosslingual,mistral-large,complex_prompts,pt,0.62,
crosslingual,mistral-large,complex_prompts,ru,0.5,0.88
crosslingual,mistral-large,complex_prompts,tr,0.56,
crosslingual,mistral-large,complex_prompts,vi,0.45,
crosslingual,mistral-large,complex_prompts,zh,0.44,0.93
crosslingual,mistral-large,okapi,ar,0.46,1.0
crosslingual,mistral-large,okapi,de,0.9,
crosslingual,mistral-large,okapi,es,0.83,
crosslingual,mistral-large,okapi,fr,0.87,
crosslingual,mistral-large,okapi,hi,0.7,1.0
crosslingual,mistral-large,okapi,id,0.57,
crosslingual,mistral-large,okapi,it,0.79,
crosslingual,mistral-large,okapi,ja,0.52,0.98
crosslingual,mistral-large,okapi,ko,0.52,0.94
crosslingual,mistral-large,okapi,pt,0.72,
crosslingual,mistral-large,okapi,ru,0.75,1.0
crosslingual,mistral-large,okapi,tr,0.75,
crosslingual,mistral-large,okapi,vi,0.62,
crosslingual,mistral-large,okapi,zh,0.52,1.0
crosslingual,mistral-large,sharegpt,ar,0.26,1.0
crosslingual,mistral-large,sharegpt,de,0.74,
crosslingual,mistral-large,sharegpt,es,0.63,
crosslingual,mistral-large,sharegpt,fr,0.69,
crosslingual,mistral-large,sharegpt,hi,0.66,0.94
crosslingual,mistral-large,sharegpt,id,0.68,
crosslingual,mistral-large,sharegpt,it,0.64,
crosslingual,mistral-large,sharegpt,ja,0.34,0.91
crosslingual,mistral-large,sharegpt,ko,0.31,0.97
crosslingual,mistral-large,sharegpt,pt,0.6,
crosslingual,mistral-large,sharegpt,ru,0.65,0.91
crosslingual,mistral-large,sharegpt,tr,0.67,
crosslingual,mistral-large,sharegpt,vi,0.57,
crosslingual,mistral-large,sharegpt,zh,0.43,1.0
crosslingual,mistral-large,complex_prompts,all,0.5,0.87
crosslingual,mistral-large,okapi,all,0.68,0.99
crosslingual,mistral-large,sharegpt,all,0.56,0.95
crosslingual,mistral-large,all,ar,0.36,0.94
crosslingual,mistral-large,all,de,0.74,
crosslingual,mistral-large,all,es,0.69,
crosslingual,mistral-large,all,fr,0.72,
crosslingual,mistral-large,all,hi,0.58,0.95
crosslingual,mistral-large,all,id,0.59,
crosslingual,mistral-large,all,it,0.66,
crosslingual,mistral-large,all,ja,0.44,0.91
crosslingual,mistral-large,all,ko,0.41,0.92
crosslingual,mistral-large,all,pt,0.65,
crosslingual,mistral-large,all,ru,0.63,0.93
crosslingual,mistral-large,all,tr,0.66,
crosslingual,mistral-large,all,vi,0.55,
crosslingual,mistral-large,all,zh,0.46,0.98
crosslingual,mistral-large,all,all,0.58,0.94
monolingual,mistral-large,aya_human_annotated,ar,0.65,1.0
monolingual,mistral-large,aya_human_annotated,en,0.99,
monolingual,mistral-large,aya_human_annotated,pt,0.82,
monolingual,mistral-large,aya_human_annotated,tr,0.71,
monolingual,mistral-large,aya_human_annotated,zh,0.93,0.98
monolingual,mistral-large,dolly_human_edited,ar,0.65,1.0
monolingual,mistral-large,dolly_human_edited,es,1.0,
monolingual,mistral-large,dolly_human_edited,fr,1.0,
monolingual,mistral-large,dolly_human_edited,hi,0.19,0.95
monolingual,mistral-large,dolly_human_edited,ru,0.98,0.99
monolingual,mistral-large,native_prompts,es,0.99,
monolingual,mistral-large,native_prompts,fr,1.0,
monolingual,mistral-large,native_prompts,ja,0.48,0.98
monolingual,mistral-large,native_prompts,ko,0.64,1.0
monolingual,mistral-large,okapi,ar,0.14,1.0
monolingual,mistral-large,okapi,de,0.98,
monolingual,mistral-large,okapi,en,0.99,
monolingual,mistral-large,okapi,es,0.98,
monolingual,mistral-large,okapi,fr,1.0,
monolingual,mistral-large,okapi,id,0.31,
monolingual,mistral-large,okapi,it,0.99,
monolingual,mistral-large,okapi,pt,0.77,
monolingual,mistral-large,okapi,vi,0.29,
monolingual,mistral-large,okapi,zh,0.39,1.0
monolingual,mistral-large,aya_human_annotated,all,0.82,0.99
monolingual,mistral-large,dolly_human_edited,all,0.76,0.98
monolingual,mistral-large,native_prompts,all,0.78,0.99
monolingual,mistral-large,okapi,all,0.68,1.0
monolingual,mistral-large,all,ar,0.48,1.0
monolingual,mistral-large,all,en,0.99,
monolingual,mistral-large,all,pt,0.8,
monolingual,mistral-large,all,tr,0.71,
monolingual,mistral-large,all,zh,0.66,0.99
monolingual,mistral-large,all,es,0.99,
monolingual,mistral-large,all,fr,1.0,
monolingual,mistral-large,all,hi,0.19,0.95
