LLM,Russian,Chinese,Korean,Arabic,Japanese,Hindi
command-r,93.66666666666667,91.0,97.33333333333333,94.33333333333334,88.33333333333333,98.66666666666667
command-r-plus,89.66666666666666,95.66666666666667,96.0,98.0,95.33333333333333,96.0
gpt-3.5-turbo,98.33333333333334,98.99999999999999,98.33333333333334,98.99999999999999,98.66666666666667,98.99999999999999
gpt-4-turbo,95.66666666666667,97.00000000000001,96.66666666666667,97.33333333333333,95.66666666666667,97.33333333333333
mistral-large,93.0,97.66666666666667,92.0,93.66666666666667,91.33333333333334,95.33333333333333
mistral-8x7b,80.33333333333333,62.0,67.33333333333333,76.33333333333333,51.66666666666667,71.66666666666667
llama-2-instruct,81.33333333333333,76.00000000000001,86.66666666666667,91.33333333333334,84.33333333333334,85.33333333333334
llama-3-instruct,89.0,92.33333333333333,100.0,95.66666666666667,91.66666666666666,97.66666666666666
